entity               ,category              ,start       ,end         ,start_sec,end_sec,confidence,id
infrastructure       ,n/a                   ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5295303 ,eIhGAa6PW98
infrastructure       ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.5115688 ,eIhGAa6PW98
infrastructure       ,n/a                   ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.3066565 ,eIhGAa6PW98
suburb               ,geographical feature  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.4300886 ,eIhGAa6PW98
signaling device     ,weak entity           ,00:00:45.120,00:00:49.080,45.12    ,49.08  ,0.347867  ,eIhGAa6PW98
car                  ,vehicle               ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.4275337 ,eIhGAa6PW98
car                  ,vehicle               ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.8620937 ,eIhGAa6PW98
traffic              ,n/a                   ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5719731 ,eIhGAa6PW98
traffic              ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.7566187 ,eIhGAa6PW98
traffic              ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.47538114,eIhGAa6PW98
traffic              ,n/a                   ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.327469  ,eIhGAa6PW98
night                ,n/a                   ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.38950476,eIhGAa6PW98
geological phenomenon,n/a                   ,00:01:23.920,00:01:28.600,83.92    ,88.6   ,0.48797897,eIhGAa6PW98
commercial building  ,building              ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.8438811 ,eIhGAa6PW98
flood                ,disaster              ,00:01:23.920,00:01:28.600,83.92    ,88.6   ,0.42051587,eIhGAa6PW98
tourist attraction   ,location              ,00:01:10.520,00:01:14.040,70.52    ,74.04  ,0.4914461 ,eIhGAa6PW98
town                 ,geographical feature  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.54939765,eIhGAa6PW98
town                 ,geographical feature  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.45371258,eIhGAa6PW98
street               ,road                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.73337024,eIhGAa6PW98
street               ,road                  ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.9104194 ,eIhGAa6PW98
street               ,road                  ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.9104194 ,eIhGAa6PW98
street               ,road                  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.9472787 ,eIhGAa6PW98
street               ,road                  ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.9472787 ,eIhGAa6PW98
rain                 ,weather               ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.44005394,eIhGAa6PW98
rain                 ,weather               ,00:00:45.120,00:00:49.080,45.12    ,49.08  ,0.62956077,eIhGAa6PW98
rain                 ,weather               ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.8306949 ,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.7176239 ,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.66684866,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.45637116,eIhGAa6PW98
metropolitan area    ,city                  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.71163875,eIhGAa6PW98
public space         ,city                  ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.5402508 ,eIhGAa6PW98
news                 ,n/a                   ,00:00:00.000,00:00:21.120,0.0      ,21.12  ,0.6729061 ,eIhGAa6PW98
news                 ,n/a                   ,00:02:51.480,00:02:57.040,171.48   ,177.04 ,0.7556554 ,eIhGAa6PW98
news                 ,n/a                   ,00:03:32.280,00:03:34.520,212.28   ,214.52 ,0.6729061 ,eIhGAa6PW98
parking              ,person                ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.7994517 ,eIhGAa6PW98
lane                 ,road                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5684215 ,eIhGAa6PW98
lane                 ,road                  ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.7197181 ,eIhGAa6PW98
lane                 ,road                  ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.5115885 ,eIhGAa6PW98
lane                 ,road                  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.46259752,eIhGAa6PW98
television presenter ,person                ,00:00:00.000,00:00:21.120,0.0      ,21.12  ,0.6883493 ,eIhGAa6PW98
transport            ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.5715241 ,eIhGAa6PW98
transport            ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.6097052 ,eIhGAa6PW98
grass family         ,plant                 ,00:02:42.080,00:02:43.720,162.08   ,163.72 ,0.4545055 ,eIhGAa6PW98
media                ,n/a                   ,00:02:51.480,00:02:57.040,171.48   ,177.04 ,0.48855835,eIhGAa6PW98
journalist           ,professional          ,00:00:00.000,00:00:21.120,0.0      ,21.12  ,0.48413646,eIhGAa6PW98
metropolis           ,city                  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.5043646 ,eIhGAa6PW98
automotive exterior  ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.31254598,eIhGAa6PW98
plant                ,n/a                   ,00:02:30.840,00:02:34.720,150.84   ,154.72 ,0.33135244,eIhGAa6PW98
plant                ,n/a                   ,00:02:42.080,00:02:43.720,162.08   ,163.72 ,0.815344  ,eIhGAa6PW98
parking lot          ,location              ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.69402564,eIhGAa6PW98
neighbourhood        ,geographical feature  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.82397187,eIhGAa6PW98
neighbourhood        ,geographical feature  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.783881  ,eIhGAa6PW98
vehicle              ,n/a                   ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5298958 ,eIhGAa6PW98
vehicle              ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.9549232 ,eIhGAa6PW98
vehicle              ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.9191926 ,eIhGAa6PW98
vehicle              ,n/a                   ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.31839675,eIhGAa6PW98
vehicle              ,n/a                   ,00:01:14.080,00:01:17.880,74.08    ,77.88  ,0.5502334 ,eIhGAa6PW98
traffic light        ,"weak entity,lighting",00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.81361735,eIhGAa6PW98
traffic light        ,"weak entity,lighting",00:00:45.120,00:00:49.080,45.12    ,49.08  ,0.57834977,eIhGAa6PW98
traffic light        ,"weak entity,lighting",00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.34219477,eIhGAa6PW98
asphalt              ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.3615953 ,eIhGAa6PW98
asphalt              ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.3615212 ,eIhGAa6PW98
mode of transport    ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.43123168,eIhGAa6PW98
building             ,n/a                   ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.74652886,eIhGAa6PW98
building             ,n/a                   ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.87692064,eIhGAa6PW98
professional         ,person                ,00:00:21.160,00:00:24.160,21.16    ,24.16  ,0.5954577 ,eIhGAa6PW98
professional         ,person                ,00:00:30.800,00:00:40.640,30.8     ,40.64  ,0.51769   ,eIhGAa6PW98
professional         ,person                ,00:02:43.760,00:02:46.240,163.76   ,166.24 ,0.36055014,eIhGAa6PW98
professional         ,person                ,00:02:57.080,00:03:32.240,177.08   ,212.24 ,0.42241415,eIhGAa6PW98
dashcam              ,n/a                   ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5076915 ,eIhGAa6PW98
dashcam              ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.54170424,eIhGAa6PW98
dashcam              ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.50730115,eIhGAa6PW98
compact car          ,car                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.7785747 ,eIhGAa6PW98
television           ,media                 ,00:02:51.480,00:02:57.040,171.48   ,177.04 ,0.562028  ,eIhGAa6PW98
pedestrian           ,person                ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.60190964,eIhGAa6PW98
display device       ,technology            ,00:02:51.480,00:02:57.040,171.48   ,177.04 ,0.47106963,eIhGAa6PW98
vegetation           ,n/a                   ,00:01:28.640,00:01:35.680,88.64    ,95.68  ,0.45510963,eIhGAa6PW98
natural disaster     ,disaster              ,00:01:23.920,00:01:28.600,83.92    ,88.6   ,0.6317417 ,eIhGAa6PW98
crop                 ,plant                 ,00:02:42.080,00:02:43.720,162.08   ,163.72 ,0.34627217,eIhGAa6PW98
motor vehicle        ,vehicle               ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.87646073,eIhGAa6PW98
city                 ,geographical feature  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.37570423,eIhGAa6PW98
residential area     ,geographical feature  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5946781 ,eIhGAa6PW98
residential area     ,geographical feature  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.45431706,eIhGAa6PW98
subcompact car       ,car                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.53136724,eIhGAa6PW98
urban area           ,city                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.7965651 ,eIhGAa6PW98
urban area           ,city                  ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.6503849 ,eIhGAa6PW98
urban area           ,city                  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.69854915,eIhGAa6PW98
urban area           ,city                  ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.6976141 ,eIhGAa6PW98
urban area           ,city                  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.81659544,eIhGAa6PW98
minivan              ,car                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.33852088,eIhGAa6PW98
disaster             ,event                 ,00:01:23.920,00:01:28.600,83.92    ,88.6   ,0.36784607,eIhGAa6PW98
city car             ,car                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.6019732 ,eIhGAa6PW98
downtown             ,city                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.6432132 ,eIhGAa6PW98
downtown             ,city                  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.6432132 ,eIhGAa6PW98
downtown             ,city                  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.4511089 ,eIhGAa6PW98
tower block          ,building              ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.48209155,eIhGAa6PW98
landslide            ,n/a                   ,00:01:23.920,00:01:28.600,83.92    ,88.6   ,0.8249851 ,eIhGAa6PW98
presentation         ,person                ,00:01:50.480,00:02:03.360,110.48   ,123.36 ,0.77287275,eIhGAa6PW98
presentation         ,person                ,00:02:03.400,00:02:07.680,123.4    ,127.68 ,0.7720427 ,eIhGAa6PW98
presentation         ,person                ,00:02:07.720,00:02:12.160,127.72   ,132.16 ,0.54782176,eIhGAa6PW98
presentation         ,person                ,00:02:12.200,00:02:15.320,132.2    ,135.32 ,0.5193059 ,eIhGAa6PW98
presentation         ,person                ,00:02:15.360,00:02:19.880,135.36   ,139.88 ,0.59488714,eIhGAa6PW98
presentation         ,person                ,00:02:19.920,00:02:25.240,139.92   ,145.24 ,0.77287275,eIhGAa6PW98
presentation         ,person                ,00:02:25.280,00:02:28.280,145.28   ,148.28 ,0.6736467 ,eIhGAa6PW98
presentation         ,person                ,00:02:30.840,00:02:34.720,150.84   ,154.72 ,0.57221   ,eIhGAa6PW98
television program   ,n/a                   ,00:00:00.000,00:00:21.120,0.0      ,21.12  ,0.8400567 ,eIhGAa6PW98
weather              ,n/a                   ,00:00:45.120,00:00:49.080,45.12    ,49.08  ,0.6419323 ,eIhGAa6PW98
tree                 ,plant                 ,00:02:30.840,00:02:34.720,150.84   ,154.72 ,0.50781065,eIhGAa6PW98
intersection         ,street                ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.8825036 ,eIhGAa6PW98
intersection         ,street                ,00:00:45.120,00:00:49.080,45.12    ,49.08  ,0.5931565 ,eIhGAa6PW98
intersection         ,street                ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.8825036 ,eIhGAa6PW98
intersection         ,street                ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.47342634,eIhGAa6PW98
condominium          ,building              ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.5103661 ,eIhGAa6PW98
road                 ,n/a                   ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.75785416,eIhGAa6PW98
road                 ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.8420151 ,eIhGAa6PW98
road                 ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.8344552 ,eIhGAa6PW98
newscaster           ,person                ,00:00:00.000,00:00:21.120,0.0      ,21.12  ,0.8406138 ,eIhGAa6PW98
scaffolding          ,n/a                   ,00:01:10.520,00:01:14.040,70.52    ,74.04  ,0.36794853,eIhGAa6PW98
windshield           ,"glass,window"        ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.33434615,eIhGAa6PW98
family car           ,car                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.34368855,eIhGAa6PW98
driving              ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.3589184 ,eIhGAa6PW98
nature               ,n/a                   ,00:01:23.920,00:01:28.600,83.92    ,88.6   ,0.55655223,eIhGAa6PW98
pedestrian crossing  ,road                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.37240687,eIhGAa6PW98
pedestrian crossing  ,road                  ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.7670071 ,eIhGAa6PW98
highway              ,road                  ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.35912365,eIhGAa6PW98
wilderness           ,geographical feature  ,00:01:28.640,00:01:35.680,88.64    ,95.68  ,0.32862777,eIhGAa6PW98
architecture         ,n/a                   ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.511838  ,eIhGAa6PW98
